DATASET	Abbreviation	Sites	SUBJECT	SCANS	MALES	FEMALES	MINAGE	MAXAGE	MEANAGE	STD	Median	Q25	Q75	CDR0_0	CDR0_5	CDR1_0	CDR2_0	CDR3_0	Race	Ethnicity	Pathology	LINK	Description	Population	Data	Design	Publication	Research_Article_1_Link	Research_Article_1_Title	Research_Article_1_Description	Research_Article_2_Link	Research_Article_2_Title	Research_Article_2_Description	Platform	Tip1	Tip2	anat	rs-fMRI	t-fMRI	dwi	eeg	pet	cognitive	behavioural	genetics	fluid_biomarkers	Others	Drawback	Goal	LaunchYear
ABIDE	Autism Brain Imaging Data Exchange	20	1112	1112	948	164	6.5	64	17	8	14.7	11.7	20.1	0	0	0	0	0			Autism	https://fcon_1000.projects.nitrc.org/indi/abide/	A large multi-site resting-state fMRI dataset focused on autism spectrum disorders, designed to facilitate biomarker discovery and reproducible research. 	USA	neuroimaging (MRI), phenotypic	Cross-sectional	https://doi.org/10.1038/mp.2013.78	https://doi.org/10.1038/s41598-022-09821-6	rs‑fMRI and machine learning for ASD diagnosis: a systematic review and meta‑analysis	A systematic review and meta‑analysis to summarize the available evidence in the literature so far identify brain imaging biomarkers and develop tools that could facilitate its diagnosis. In particular, using Machine Learning classifiers based on resting‑state fMRI (rs‑fMRI) data for Autism Spectrum Disorder (ASD) diagnosis which is otherwise a is still based on behavioral criteria through a lengthy and time‑consuming process	https://doi.org/10.1192/bjp.2022.13	Deep learning identifies robust gender differences in functional brain organization and their dissociable links to clinical symptoms in autism.	Autism affects largere womens tha men; identify robust functional brain organisation markers that distinguish between females and males with ASD and predict symptom severity	indi	ABIDE-1 and ABIDE-2 are disjoint multi-site datasets with different subject IDs.	Use the AWS fcp-indi over IDA to download the MRI images.	1	1	0	0	0	0	0	0	0	0	WISC_IV, VINELAND, SRS, FIQ, VIQ, and PIQ scores, age-matched	Choose between old ABIDE-1 and new ABIDE-2	To accelerate the pace of discovery setting the stage for the next generation of Autism spectrum disorder studies.	2013
ABIL	Australian Imaging, Biomarker and Lifestyle	2	691	1274	305	385	55	96	73.7	6.8	73	68	79	922	289	52	9	2			AD	https://aibl.org.au/	A prominent longitudinal research initiative launched in 2006 to investigate the development and progression of Alzheimer's disease (AD). 	Australia	neuroimaging (MRI, PET), cognitive, lifestyle, behvioural, fluid biomarkers	Longitudinal	https://doi.org/10.1017/s1041610209009405	https://doi.org/10.3233/adr-210005	Fifteen Years of the Australian Imaging, Biomarkers and Lifestyle (AIBL) Study: Progress and Observations from 2,359 Older Adults Spanning the Spectrum from Cognitive Normality to Alzheimer’s Disease	Lists the Major achievements made possbile due to the AIBL study along with relavent publications	https://doi.org/10.1002/alz.13556	Physical activity and brain amyloid beta: A longitudinal analysis of cognitively unimpaired older adults	AIBL study's lifestyle data was leveraged to design this study which evaluated the relationship between habitual physical activity (PA) levels and brain amyloid beta (Aβ) over 15 years in a cohort of cognitively unimpaired older adults	IDA LONI	ABIL serves as a suitable test set for models trained on ADNI.	Correlation analysis of lifestyle factors with dementia is recommended.	1	0	0	0	0	1	1	1	1	1	MMSE, CVLT-II, Logical Memory I and II (WMS; Story 1 only), D-KEFS verbal fluency, 30-item Boston Naming Test (BNT), Wechsler Test of Adult Reading (WTAR), Digit Span and Digit Symbol-Coding subtests of the Wechsler Adult Intelligence Scale – Third edition (WAIS–III), the Stroop task (Victoria version), and the Rey Complex Figure Test (RCFT)	NA	To identify and validate neuroimaging and fluid biomarkers, understand risk and protective factors (including lifestyle), and improve early prediction of AD	2016
ADNI	Alzheimer’s Disease Neuroimaging Initiative	61	738	3996	414	324	55	96	76.6	6.8	77	72	81	2307	2489	0	0	0	mostly white		AD	https://adni.loni.usc.edu/	A longitudinal study collecting MRI, PET, and clinical data to track Alzheimer's disease progression.	USA	neuroimaging (MRI)	Longitudinal	https://doi.org/10.1002/jmri.21049	https://doi.org/10.1038/s41467-022-31037-5	Multimodal deep learning for Alzheimer’s disease dementia assessment	The Alzheimer’s Disease Neuroimaging Initiative (ADNI) provides longitudinal, multimodal data-including clinical assessments, neuroimaging (MRI/PET), genetic profiles, and biomarkers (e.g., CSF Aβ/tau)-enabling integrated analyses to advance Alzheimer’s research. This comprehensive repository supports machine learning and computational modeling for enhancing diagnostic accuracy, tracking disease progression, and uncovering mechanistic insights into neurodegenerative disorders.	https://arxiv.org/pdf/2408.15647	Leveraging Persistent Homology for Differential Diagnosis of Mild Cognitive Impairment	Researchers often use ADNI data to compare thier methods and test thier methods on in-house data and on standard dataset; ADNI can be thought of MNIST of machine learning in neuroimaging	IDA LONI	The ADNIMERGE file (ADNIMERGE - Key ADNI tables merged into one table [ADNI1, GO, 2, 3]) may be of interest as it combines various variables into one file.	Downloading MRI images from IDA can be difficult due to the large number of files per subject. Use Advanced Search with filters like anat T1w MRI, generate an image collection, download the CSV, inspect series descriptions (e.g., MPRAGE), and refine filters accordingly. Use the IDA Downloader for final retrieval.	1	1	0	1	0	1	1	1	1	1	CDR; MMSE, MoCA, RAVLT, ADAS-Cog, Digit Symbol Substitution, Boston Naming Test	NA	Develop and validate biomarkers for AD progression and trials.	2004
Age-ility	Age-ility	1	131	131	66	65	15	35	21.7	5.2	20	18	24	0	0	0	0	0			HC	https://www.nitrc.org/projects/age-ility/	A multimodal neuroimaging dataset designed to investigate the neural mechanisms underlying cognitive control across the adult lifespan. It provides high-quality, open-access data suitable for studying brain structure, function, and electrophysiology in healthy young adults.	Australia	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1016/j.neuroimage.2015.04.047	https://doi.org/10.1371/journal.pone.0236418	Distortion correction of diffusion weighted MRI without reverse phase-encoding scans or field-maps	Introduces a deep learning approach to synthesize geometrically accurate b0 images from structural T1w and diffusion MRI data, enabling susceptibility distortion correction without requiring reverse phase encoding scans and achieves performance comparable to traditional techniques like FSL topup.				Nitrc	Download using the provided script instead of downloading each TAR file individually.	Click on "See all files", select all, scroll to the bottom, and download.	1	1	0	1	1	0	0	0	0	0	Resting state EEG	Data from neuropsychological, psychometric and cognitive tasks are not currently being made available	To understand the complex interplay between structural and functional organisation of brain network using multi-modal analyses approaches.	2014
AOMIC_ID1000	Amsterdam Open MRI Collection	1	928	928	445	483	19	26	22.8	1.7	22.8	21.2	24.2	0	0	0	0	0			HC	https://nilab-uva.github.io/AOMIC.github.io/	Part of the Amsterdam Open MRI Collection, this dataset includes multimodal MRI data from 1,000 participants, focusing on individual differences.	Netherlands	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/s41597-021-00870-6	https://proceedings.neurips.cc/paper_files/paper/2022/file/8600a9df1a087a9a66900cc8c948c3f0-Paper-Conference.pdf	Self-Supervised Learning of Brain Dynamics from Broad Neuroimaging Data	Proposed self-supervised learning frameworks for neuroimaging data, inspired by NLP. At their core, these frameworks learn the dynamics of brain activity by modeling sequences of activity akin to how sequences of text are modeled in NLP. We evaluate the frameworks by pre-training models on a broad neuroimaging dataset spanning functional Magnetic Resonance Imaging data	https://doi.org/10.1016/j.isci.2024.110532	Is political ideology correlated with brain structure? A preregistered replication	Studies the hypotheses that conservatism positively correlates with amygdala and negatively with anterior cingulate cortex (ACC) gray matter volume. This is the largest preregistered replication study in the context of political neuroscience. Confirmatory tests highlight weak, positive associations between the right fusiform gyri and conservatism	openNeuro	Do not combine all three AOMIC datasets blindly.	General population data with slightly higher age range and diversity.	1	0	1	1	0	0	0	0	0	0	NEO-FFI, religious_importance	less variablilty	Create a large representative dataset of the general population	2021
AOMIC_PIOP1	Amsterdam Open MRI Collection	1	216	216	89	120	18.2	26.2	22.2	1.8	22.2	20.8	23.2	0	0	0	0	0			HC	https://nilab-uva.github.io/AOMIC.github.io/	Datasets from the Amsterdam Open MRI Collection, containing task-based and resting-state fMRI data to study cognitive and emotional processes.​	Netherlands	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/s41597-021-00870-6	https://doi.org/10.1093/cercor/bhad396	Brain asymmetry is globally different in males and females: exploring cortical volume, area, thickness, and mean curvature	This study investigate sexual dimorphism in brain asymmetry by comparing laterality index with the distance index, which is a global measure of differences within and across hemispheres, and with the subtraction index, which compares pairwise raw values in the left and right hemisphere. Machine learning models, robustness tests, and group analyses of cortical volume, area, thickness, and mean curvature revealed that, of the three indices, distance index was the most successful biomarker of sexual dimorphism.	https://doi.org/10.1016/j.isci.2024.110532	Is political ideology correlated with brain structure? A preregistered replication	Studies the hypotheses that conservatism positively correlates with amygdala and negatively with anterior cingulate cortex (ACC) gray matter volume. This is the largest preregistered replication study in the context of political neuroscience. Confirmatory tests highlight weak, positive associations between the right fusiform gyri and conservatism	openNeuro	Do not combine all three AOMIC datasets blindly.	University students encompass the cohort.	1	0	1	1	0	0	0	0	0	0	physiology	less variablilty	Large representative dataset of university students	2021
AOMIC_PIOP2	Amsterdam Open MRI Collection	1	226	226	96	129	18.2	25.8	22	1.8	22	20.5	23.2	0	0	0	0	0			HC	https://nilab-uva.github.io/AOMIC.github.io/	Datasets from the Amsterdam Open MRI Collection, containing task-based and resting-state fMRI data to study cognitive and emotional processes.​	Netherlands	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/s41597-021-00870-6	https://proceedings.neurips.cc/paper_files/paper/2022/file/8600a9df1a087a9a66900cc8c948c3f0-Paper-Conference.pdf	Self-Supervised Learning of Brain Dynamics from Broad Neuroimaging Data	Proposed self-supervised learning frameworks for neuroimaging data, inspired by NLP. At their core, these frameworks learn the dynamics of brain activity by modeling sequences of activity akin to how sequences of text are modeled in NLP. We evaluate the frameworks by pre-training models on a broad neuroimaging dataset spanning functional Magnetic Resonance Imaging data	https://doi.org/10.1016/j.isci.2024.110532	Is political ideology correlated with brain structure? A preregistered replication	Studies the hypotheses that conservatism positively correlates with amygdala and negatively with anterior cingulate cortex (ACC) gray matter volume. This is the largest preregistered replication study in the context of political neuroscience. Confirmatory tests highlight weak, positive associations between the right fusiform gyri and conservatism	openNeuro	Do not combine all three AOMIC datasets blindly.	Large representative dataset of university students.	1	0	1	1	0	0	0	0	0	0	physiology	less variablilty	Large representative dataset of university students	2021
BGSP	Brain Genomics Superstruct Project	5	1570	1570	665	905	19	35	21.5	2.9	21	19	23	0	0	0	0	0	W_NOT_HL	W_NOT_HL	HC	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25833	A large-scale neuroimaging dataset developed by Harvard and Mass General Hospital, the BGSP includes structural and functional MRI data from over 1,500 healthy young adults, along with behavioral, cognitive, and genetic information.	USA	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/sdata.2015.31	https://doi.org/10.1002/hbm.24213	Accurate nonlinear mapping between MNI volumetric and FreeSurfer surface coordinate systems	Mapping between volumetric (e.g., MNI152) and surface (e.g., fsaverage) coordinate systems is crucial for neuroimaging, but methods for accurate transformations are underexplored. This research leverages the BGSP data to evaluate three approaches for this mapping, simulating the projection of group data and parcellations between these systems.	https://doi.org/10.1093/cercor/bhx179	Local-Global Parcellation of the Human Cerebral Cortex from Intrinsic Functional Connectivity MRI	The study developed a gradient-weighted Markov Random Field (gwMRF) model combining local gradient (boundary detection) and global similarity (clustering) approaches for cortical parcellation	IDA LONI	Apply for access at both Harvard Dataverse and IDA; IDA provides detailed metadata for analysis.	Use your institutional email; otherwise, the dataset team may reject your request/application.	1	1	0	0	0	0	1	1	1	0	Flanker; cognitive, behavioural and genetics data is avaialable upon request	Slightly hard to access	Enable large-scale exploration of the links between brain function, behavior, and ultimately genetic variation	2014
BHRC	Brazilian High Risk Cohort Study	2	610	907	358	252	5.8	14.3	9.8	1.8	9.7	8.5	11.1	0	0	0	0	0	White	Hispanic or Latino	HC	https://osf.io/ktz5h/	A longitudinal study based in Brazil aiming to understand the development of mental disorders in children and adolescents.	Brazil	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1002/mpr.1459	https://doi.org/10.1001/jamapediatrics.2023.3221	Estimated Prevalence of Depressive Disorders in Children From 2004 to 2019 A Systematic Review and Meta-Analysis	Depression during childhood (ie, age <13 years) poses a major health burden. Recent changes in environmental and lifestyle factors may increase children’s risk of mental health problems. This has been reported for anxiety disorders, but it is unclear whether this occurs for depressive disorders.	https://doi.org/10.1176/appi.ajp.2021.21090944	Early Adversity and Development: Parsing Heterogeneity and Identifying Pathways of Risk and Resilience	This research highlights how distinct adversity types (threat vs. deprivation) during development differentially impact psychopathology-threat affecting emotional processing via attention biases and genetic markers (e.g., *NR3C1*), while deprivation disrupts executive function through cortical-striatal circuits. Longitudinal data and multi-modal assessments revealed outcome heterogeneity tied to adversity timing, type, and protective factors, informing targeted intervention strategies.	RBC	The phenotypic and metadata is not easily accessible; you must sign in, request data access, and fill out a DUA.	Reproducible Brain Charts hosts this data, and it is easy to download.	1	1	0	1	0	0	0	0	0	0	1.5T scans only	Slightly hard to access the metadata	Understanding developmental trajectories of psychopathology and mental disorders in High Risk Cohort Study for the Development of Childhood Psychiatric Disorders.	2013
BrainLat	BrainLat	5	761	761	322	439	21	98	68.5	10.9	70	62	76	0	0	0	0	0			AD	https://www.synapse.org/Synapse:syn51549340/files/	The BrainLat Project is a comprehensive, open-access neuroimaging dataset developed by the Latin American Brain Health Institute to advance research on neurodegenerative diseases within underrepresented populations. It encompasses multimodal data from 780 participants across five Latin American countries: Argentina, Chile, Colombia, Mexico, and Peru.​	Argentina, Chile, Colombia, Mexico, Peru	neuroimaging (MRI)	Cross-sectional	https://doi.org/10.1038/s41597-023-02806-8	https://doi.org/10.1038/s41591-024-03209-x	Brain clocks capture diversity and disparities in aging and dementia across geographically diverse populations	Region-specific analysis of accelerated brain aging by providing multimodal neuroimaging (fMRI/EEG) and clinical data from underrepresented Latin American populations, capturing structural inequality’s impact via frontoposterior network disruptions and sex-specific gaps linked to macrosocial stressors. Its inclusion of diverse sociodemographic, environmental, and genetic admixture profiles supported models where socioeconomic disparities and pollution explained 37% of variance in brain-age gaps, highlighting Global South vulnerabilities to accelerated neurodegeneration	https://doi.org/10.1016/j.ebiom.2025.105614	Altered spatiotemporal brain dynamics of interoception in behavioural-variant frontotemporal dementia	The study revealed that behavioral variant frontotemporal dementia (bvFTD) patients exhibit prolonged intrinsic neural timescales during interoception, measured via EEG autocorrelation windows, linking these dynamic deficits to structural atrophy in fronto-insular-temporal regions and sociocognitive impairments. Multimodal data-including simultaneous EEG/ECG, structural MRI, and neuropsychological assessments-enabled mapping of spatiotemporal brain dynamics to allostatic-interoceptive network degradation, establishing a mechanistic basis for bvFTD’s behavioral symptoms	Synapse	Data requests should be submitted through Synapse.	Use the five diagnoses provided.	1	1	0	1	1	0	1	1	0	0	MOCA, IFS, Alzheimer’s disease, AD, behavioral variant frontotemporal dementia, bvFTD, Parkinson’s disease, PD, multiple sclerosis, MS, healthy controls, HC	Does not include data from entire of South america; including brazil	Facilitate the identifcation of new biomarkers, ultimately contributing to advancements in understanding and treating neurodegenerative diseases in Latin American populations which display extensive heterogeneity triggered by the unique combination of genetic and environmental diferences. 	2023
